first_name,middle_name,last_name,state,district,party,next_election,id,api_uri,domain,url,facebook_account,facebook_id,twitter_account,google_entity_id,rss_url,total_votes,missed_votes,missed_votes_pct,total_present,votes_with_party_pct,dw_nominate,seniority,ideal_point
Maria,null,Cantwell,WA,null,D,2018,C000127,https://api.propublica.org/congress/v1/members/C000127.json,www.cantwell.senate.gov,https://www.cantwell.senate.gov,senatorcantwell,null,SenatorCantwell,/m/01x68t,null,64,0,0.00,0,95.31,null,17,null
Benjamin,L.,Cardin,MD,null,D,2018,C000141,https://api.propublica.org/congress/v1/members/C000141.json,www.cardin.senate.gov,https://www.cardin.senate.gov,senatorbencardin,120421834675191,SenatorCardin,/m/025k3k,null,64,0,0.00,0,96.88,null,11,null
Thomas,R.,Carper,DE,null,D,2018,C000174,https://api.propublica.org/congress/v1/members/C000174.json,www.carper.senate.gov,http://www.carper.senate.gov/public,tomcarper,124891107521733,SenatorCarper,/m/01xw7t,http://www.carper.senate.gov/public/index.cfm/rss/feed,64,5,7.81,0,94.92,null,17,null
Thad,null,Cochran,MS,null,R,2020,C000567,https://api.propublica.org/congress/v1/members/C000567.json,null,http://www.cochran.senate.gov,null,null,SenThadCochran,/m/01fmcd,http://www.cochran.senate.gov/public/index.cfm/rss/taggedfeed?Type=news-releases&amp;region=&amp;issue=,64,0,0.00,0,95.31,null,39,null
Michael,D.,Crapo,ID,null,R,2022,C000880,https://api.propublica.org/congress/v1/members/C000880.json,crapo.senate.gov,http://www.crapo.senate.gov,mikecrapo,80335332266,MikeCrapo,/m/021pgp,null,64,0,0.00,0,95.31,null,19,null
Susan,null,Collins,ME,null,R,2020,C001035,https://api.propublica.org/congress/v1/members/C001035.json,null,https://www.collins.senate.gov,susancollins,7593313361,SenatorCollins,/m/020y8m,https://www.collins.senate.gov/?q=rss.xml,64,0,0.00,0,78.13,null,21,null
Shelley,Moore,Capito,WV,null,R,2020,C001047,https://api.propublica.org/congress/v1/members/C001047.json,www.capito.senate.gov,https://www.capito.senate.gov,senshelley,8057864757,SenCapito,/m/024pwq,null,64,0,0.00,0,93.75,null,3,null
John,null,Cornyn,TX,null,R,2020,C001056,https://api.propublica.org/congress/v1/members/C001056.json,www.cornyn.senate.gov,https://www.cornyn.senate.gov,sen.johncornyn,75755694423,JohnCornyn,/m/01xcqs,null,64,0,0.00,0,95.31,null,15,null
Bob,null,Casey,PA,null,D,2018,C001070,https://api.propublica.org/congress/v1/members/C001070.json,www.casey.senate.gov,https://www.casey.senate.gov,SenatorBobCasey,107749545944874,SenBobCasey,/m/047ymw,https://www.casey.senate.gov/rss/feeds/?all,64,0,0.00,0,95.31,null,11,null
Bob,null,Corker,TN,null,R,2018,C001071,https://api.propublica.org/congress/v1/members/C001071.json,www.corker.senate.gov,http://www.corker.senate.gov,bobcorker,109251415789533,SenBobCorker,/m/0d9fz3,http://www.corker.senate.gov/public/index.cfm/rss/feed,64,0,0.00,0,96.88,null,11,null
